attack,baseline_accuracy,baseline_attack_interval_count,baseline_attack_interval_detection_rate,baseline_benign_false_positive_count,baseline_continuous_alert_segments,baseline_detected_attack_intervals,baseline_detection_delay_rows,baseline_f1,baseline_first_attack_evaluation_index,baseline_first_attack_raw_index,baseline_first_detection_evaluation_index,baseline_first_detection_raw_index,baseline_fn,baseline_fnr,baseline_fp,baseline_fpr,baseline_pr_auc,baseline_precision,baseline_recall,baseline_roc_auc,baseline_specificity,baseline_tn,baseline_tp,br_cusum_accuracy,br_cusum_attack_interval_count,br_cusum_attack_interval_detection_rate,br_cusum_benign_false_positive_count,br_cusum_continuous_alert_segments,br_cusum_detected_attack_intervals,br_cusum_detection_delay_rows,br_cusum_f1,br_cusum_first_attack_evaluation_index,br_cusum_first_attack_raw_index,br_cusum_first_detection_evaluation_index,br_cusum_first_detection_raw_index,br_cusum_fn,br_cusum_fnr,br_cusum_fp,br_cusum_fpr,br_cusum_pr_auc,br_cusum_precision,br_cusum_recall,br_cusum_roc_auc,br_cusum_specificity,br_cusum_tn,br_cusum_tp,classification_vs_br_cusum,drift_all_scores_finite,drift_attack,drift_calibration_attack_count,drift_calibration_contaminated,drift_calibration_contamination_rate,drift_calibration_mad,drift_calibration_median,drift_cusum_drift_recorded,drift_end_to_start_ratio,drift_epsilon,drift_evaluation_score_end,drift_evaluation_score_start,drift_fraction_score_nonzero,drift_k,drift_longest_nonzero_run,drift_lower_channel_alerts,drift_lower_longest_nonzero_run,drift_lower_max,drift_lower_nonzero_fraction,drift_lower_only_alerts,drift_lower_only_attack_alerts,drift_rho,drift_robust_scale,drift_score_direction,drift_score_max,drift_score_median,drift_state_reset_count,drift_threshold,drift_upper_channel_alerts,drift_upper_longest_nonzero_run,drift_upper_max,drift_upper_nonzero_fraction,ewma_accuracy,ewma_attack_interval_count,ewma_attack_interval_detection_rate,ewma_benign_false_positive_count,ewma_continuous_alert_segments,ewma_detected_attack_intervals,ewma_detection_delay_rows,ewma_f1,ewma_first_attack_evaluation_index,ewma_first_attack_raw_index,ewma_first_detection_evaluation_index,ewma_first_detection_raw_index,ewma_fn,ewma_fnr,ewma_fp,ewma_fpr,ewma_pr_auc,ewma_precision,ewma_recall,ewma_roc_auc,ewma_specificity,ewma_tn,ewma_tp,leaky_accuracy,leaky_attack_interval_count,leaky_attack_interval_detection_rate,leaky_benign_false_positive_count,leaky_continuous_alert_segments,leaky_detected_attack_intervals,leaky_detection_delay_rows,leaky_f1,leaky_first_attack_evaluation_index,leaky_first_attack_raw_index,leaky_first_detection_evaluation_index,leaky_first_detection_raw_index,leaky_fn,leaky_fnr,leaky_fp,leaky_fpr,leaky_pr_auc,leaky_precision,leaky_recall,leaky_roc_auc,leaky_specificity,leaky_tn,leaky_tp
mirai,0.8916519818747711,1,1.0,310,22488,1,14,0.9373916234538003,56620,121621,56634,121635,75440,0.11741341849852767,310,0.005475097138820205,0.9955681103052513,0.9994536347389608,0.8825865815014723,0.9486868851824499,0.9945249028611798,56310,567076,0.9198267575979495,1,1.0,56052,5,1,0,0.9582039603783208,56620,121621,56620,121621,0,0.0,56052,0.9899682091133875,0.9999999999563982,0.9197615693819357,1.0,0.9999999995052126,0.010031790886612504,568,642516,improved,True,mirai,0,False,0.0,0.004306081840061071,0.009625072200411408,True,12136.121804978913,1e-12,61525.102475035965,5.06958511653986,0.990293733980227,0.5,642625,0,46,3.4657921673001795,0.0776815955693885,0,0,0.95,0.006384196937074544,higher_is_more_anomalous,115700.04780565937,100084.0409389227,0,161.66469465376832,641908,642122,115700.04780565937,0.9732512701391431,0.9979660609666788,1,1.0,294,59,1,39,0.9988926941172622,56620,121621,56659,121660,1128,0.0017555983041667444,294,0.005192511480042388,0.9999810781796409,0.9995418291303169,0.9982444016958333,0.9997792771513069,0.9948074885199576,56326,641388,0.9983579732698645,1,1.0,270,22,1,41,0.9991062141473532,56620,121621,56661,121662,878,0.0013665029353354624,270,0.004768632991875662,0.9999886370609581,0.9995793789764266,0.9986334970646645,0.9998685906877669,0.9952313670081243,56350,641638
os_scan,0.050050525155403126,34069,1.0,1551125,3045,34069,0,0.07809690792113044,1249657,1314658,1249657,1314658,0,0.0,1551125,0.9897744312924736,0.4995091973373824,0.040635195522088045,1.0,0.9786187801383145,0.010225568707526401,16025,65700,0.04023639648467404,34069,1.0,1567150,1,34069,0,0.07736010126284183,1249657,1314658,1249657,1314658,0,0.0,1567150,1.0,0.10239861162242156,0.04023639648467404,1.0,0.8292617540367294,0.0,0,65700,approximately_unchanged,True,os_scan,0,False,0.0,0.003975762196937792,0.018626049838908594,True,16.318115263621504,1e-12,560.4451369165918,34.34496740968671,0.9999981627216217,0.5,1632509,0,2,0.4114157007798369,7.349113513182473e-06,0,0,0.95,0.005894465034179971,higher_is_more_anomalous,4.670812347905562e+16,559.4285459533144,0,48.92128892089369,1626425,1632509,4.670812347905562e+16,0.9999981627216217,0.045470190158312156,34069,1.0,1558604,163,34069,0,0.07775129526320647,1249657,1314658,1249657,1314658,0,0.0,1558604,0.9945467887566601,0.4720729971514632,0.040448093460337474,1.0,0.9764786246407707,0.005453211243339821,8546,65700,0.04417123434485715,34069,1.0,1560725,127,34069,0,0.07765383763019872,1249657,1314658,1249657,1314658,0,0.0,1560725,0.9959002010018186,0.46481754131883257,0.04039534561999478,1.0,0.9757822022264481,0.0040997989981814125,6425,65700
fuzzing,0.209494304628711,42362,0.9997639393796327,1722580,6509,42352,0,0.33440837987639604,1235004,1300005,1235004,1300005,41,9.4735698953055e-05,1722580,0.9863859295504064,0.19471720266401787,0.20077835237611827,0.999905264301047,0.5308830680874915,0.013614070449593582,23775,432742,0.1986028420412108,42362,1.0,1746355,1,42362,0,0.3313905742172141,1235004,1300005,1235004,1300005,0,0.0,1746355,1.0,0.4558456587054309,0.1986028420412108,1.0,0.8529206377903578,0.0,0,432783,approximately_unchanged,True,fuzzing,0,False,0.0,0.005441708394107146,0.02171518065768963,True,37.516552775192174,1e-12,1189.4701059770987,31.705207914615116,1.0,0.5,2179138,0,0,0.0,0.0,0,0,0.95,0.008067876866103255,higher_is_more_anomalous,214327.2163612584,1224.258077843778,0,70.10832663601995,2171377,2179138,214327.2163612584,1.0,0.20369751709162062,42362,1.0,1735253,139,42362,0,0.33280516637259266,1235004,1300005,1235004,1300005,0,0.0,1735253,0.993642758774705,0.2837204931584512,0.19961984026095508,1.0,0.7153361391995622,0.0063572412252949715,11102,432783,0.20216434204717645,42362,1.0,1738594,75,42362,0,0.3323781948881789,1235004,1300005,1235004,1300005,0,0.0,1738594,0.9955558864033945,0.295796471463988,0.1993126942028031,1.0,0.7234596617717796,0.0044441135966055015,7761,432783
ssl_renegotiation,0.05000070009381257,29299,0.9846411140311956,2034641,3447,28849,0,0.08278229553170455,1255010,1320011,1255010,1320011,799,0.008623667055217372,2034641,0.9925475067783199,0.5865630980389399,0.04319457285089918,0.9913763329447827,0.9309526538922653,0.007452493221680087,15277,91853,0.043243394614878396,29299,1.0,2049918,1,29299,0,0.0829018325696508,1255010,1320011,1255010,1320011,0,0.0,2049918,1.0,0.14206204849548007,0.043243394614878396,1.0,0.8054048347540046,0.0,0,92652,approximately_unchanged,True,ssl_renegotiation,0,False,0.0,0.006386391328077133,0.025269239558426186,True,112813420516.5967,1e-12,3395901735968.3843,30.10193043006609,1.0,0.5,2142570,0,25,6.918822298027631,8.58781743420285e-05,0,0,0.95,0.009468463784007158,higher_is_more_anomalous,1.0451335147471012e+18,858.5067874056916,0,47.102187725866926,2137920,2142570,1.0451335147471012e+18,1.0,0.04619032283659344,29299,1.0,2043604,146,29299,0,0.08313667499959622,1255010,1320011,1255010,1320011,0,0.0,2043604,0.9969198767950718,0.23173674359750018,0.04337120644716738,1.0,0.8673542278503529,0.003080123204928197,6314,92652,0.04541368543384813,29299,1.0,2045268,109,29299,0,0.08307465529021255,1255010,1320011,1255010,1320011,0,0.0,2045268,0.9977316165817365,0.19298864401720947,0.043337449483610235,1.0,0.8464968991901387,0.0022683834182635598,4650,92652
arp_mitm,0.49016261449140847,49867,0.9998395732648846,1243419,12059,49859,0,0.6480713281318756,1234999,1300000,1234999,1300000,210,0.00018336255492145098,1243419,0.9609155838435108,0.8651360208649626,0.4794101355631466,0.9998166374450785,0.8318727828830336,0.03908441615648913,50575,1145062,0.46951500984312494,49867,1.0,1293994,1,49867,0,0.6390067562402743,1234999,1300000,1234999,1300000,0,0.0,1293994,1.0,0.9514335633380295,0.46951500984312494,1.0,0.9773912558408606,0.0,0,1145272,approximately_unchanged,True,arp_mitm,0,False,0.0,0.014881341843448416,0.03151815701540028,True,29.247585754949473,1e-12,1028.2112276197765,35.15542227090575,1.0,0.5,2439266,0,0,0.0,0.0,0,0,0.95,0.02206307741809662,higher_is_more_anomalous,1370180177896536.0,829.4431842305036,0,87.57456843517497,2421081,2439266,1370180177896536.0,1.0,0.4783643932232073,49867,1.0,1272408,313,49867,0,0.6428781527227985,1234999,1300000,1234999,1300000,0,0.0,1272408,0.9833183152317553,0.7462408396534739,0.47370702491644884,1.0,0.7559948062607619,0.016681684768244675,21586,1145272,0.47697012133978006,49867,1.0,1275809,184,49867,0,0.6422650814431438,1234999,1300000,1234999,1300000,0,0.0,1275809,0.9859466118080918,0.7290354563689152,0.4730415876213972,1.0,0.7637635422882538,0.014053388191908154,18185,1145272
syn_dos,0.02379543837932213,1113,1.0,2641878,7836,1113,0,0.00529979058372246,2617348,2682349,2617348,2682349,0,0.0,2641878,0.9787499208109551,0.0045366223971412736,0.002656935893776926,1.0,0.7067915725481689,0.021250079189044903,57359,7038,0.0026006226270427063,1113,1.0,2699237,1,1113,0,0.005187753864003158,2617348,2682349,2617348,2682349,0,0.0,2699237,1.0,0.0475785005002259,0.0026006226270427063,1.0,0.976441031199883,0.0,0,7038,approximately_unchanged,True,syn_dos,0,False,0.0,0.012672033669764746,0.029255175728296993,True,45.02886498943599,1e-12,264.53957933493257,5.874888905083328,0.9998093320154087,0.5,2696829,0,23,1.0912238583854839,8.646571394259637e-05,0,0,0.95,0.01878755711979321,higher_is_more_anomalous,75865360370907.25,361.55943019944215,0,31.253094289088516,2693411,2696829,75865360370907.25,0.9998030503182419,0.008281124423792852,1113,1.0,2683864,267,1113,0,0.005217313950643824,2617348,2682349,2617348,2682349,0,0.0,2683864,0.9943046868429857,0.005520211028778554,0.002615479865115861,1.0,0.711960334202841,0.005695313157014371,15373,7038,0.007354019824297235,1113,1.0,2686373,128,1113,0,0.00521246651945658,2617348,2682349,2617348,2682349,0,0.0,2686373,0.9952342087782584,0.010320174625160418,0.002613043460504171,1.0,0.7968328424838255,0.0047657912217415515,12864,7038
active_wiretap,0.42841132083654065,47739,1.0,1265319,15714,47739,0,0.5933739556924703,1234999,1300000,1234999,1300000,0,0.0,1265319,0.9805086820946134,0.3437812203383971,0.4218420084668511,1.0,0.42019122502321804,0.019491317905386555,25153,923216,0.41704883434341244,47739,1.0,1290472,1,47739,0,0.5886160367037053,1234999,1300000,1234999,1300000,0,0.0,1290472,1.0,0.9407591181617555,0.41704883434341244,1.0,0.9776607280003408,0.0,0,923216,approximately_unchanged,True,active_wiretap,0,False,0.0,0.008657545081656408,0.024356330052700464,True,58.60779295326931,1e-12,741.2079380808182,12.646917768628779,1.0,0.5,2213688,0,6,1.474616657172897,0.0007015442103855647,0,0,0.95,0.01283567633906379,higher_is_more_anomalous,3226.925395224883,875.3757081866636,0,34.99368046025245,2210682,2213688,3226.925395224883,1.0,0.4189840664086357,47739,1.0,1286188,171,47739,0,0.5894209958437346,1234999,1300000,1234999,1300000,0,0.0,1286188,0.9966802844230638,0.32645242542829644,0.4178574855481388,1.0,0.3754598609482731,0.0033197155769361907,4284,923216,0.41840674927993465,47739,1.0,1287466,85,47739,0,0.5891806306395422,1234999,1300000,1234999,1300000,0,0.0,1287466,0.9976706197422338,0.31274147750616266,0.41761592124059455,1.0,0.33699662916114154,0.0023293802577661507,3006,923216
ssdp_flood,0.3682837499517106,10324,1.0,2534613,6246,10324,0,0.5318254888737548,2548441,2613442,2548441,2613442,0,0.0,2534613,0.9852106437653465,0.9994999349445652,0.3622358819359889,1.0,0.9996708861257377,0.014789356234653536,38048,1439604,0.35880082696432064,10324,1.0,2572661,1,10324,0,0.5281139367068431,2548441,2613442,2548441,2613442,0,0.0,2572661,1.0,0.9908719223391035,0.35880082696432064,1.0,0.9971386974199368,0.0,0,1439604,approximately_unchanged,True,ssdp_flood,0,False,0.0,0.005407280655904437,0.022131270643028656,True,777.0837583455268,1e-12,76509.71418401218,98.45748719148042,0.9999945168128227,0.5,4006345,0,0,0.0,0.0,0,0,0.95,0.008016834301443919,higher_is_more_anomalous,1408335535462636.5,1426.0010780020602,0,77.98714255905963,4002630,4006345,1408335535462636.5,0.9999945168128227,0.3626091496947485,10324,1.0,2557381,364,10324,0,0.5295982462533033,2548441,2613442,2548441,2613442,0,0.0,2557381,0.9940606243885223,0.996838686009678,0.36017248000680513,1.0,0.9988161201643976,0.005939375611477765,15280,1439604,0.36120221371220496,10324,1.0,2563026,143,10324,0,0.5290489163090011,2548441,2613442,2548441,2613442,0,0.0,2563026,0.9962548505224746,0.9951954728136548,0.35966452057772014,1.0,0.9983732428112124,0.0037451494775254104,9635,1439604
video_injection,0.0429995015369278,17141,1.0,2303883,71,17141,0,0.08170893717159164,2066049,2131050,2066049,2131050,0,0.0,2303883,0.9995583324403087,0.03824625799826944,0.0425946503921655,1.0,0.481919464982499,0.0004416675596912839,1018,102499,0.04257663869734984,17141,1.0,2304901,1,17141,0,0.08167579651611478,2066049,2131050,2066049,2131050,0,0.0,2304901,1.0,0.29168369125073096,0.04257663869734984,1.0,0.9455462296420953,0.0,0,102499,approximately_unchanged,True,video_injection,0,False,0.0,0.007380362170780998,0.01706240512390494,True,46.27115312707487,1e-12,864.2721751880493,18.67842309471932,1.0,0.5,2407400,0,0,0.0,0.0,0,0,0.95,0.010942124955399908,higher_is_more_anomalous,5534582434.45372,829.5571491588883,0,18.74896205528477,2407056,2407400,5534582434.45372,1.0,0.04281340865664202,17141,1.0,2304331,16,17141,0,0.08169434936590618,2066049,2131050,2066049,2131050,0,0.0,2304331,0.999752700875222,0.046088509581030536,0.04258672195377322,1.0,0.5814735041542547,0.00024729912477802735,570,102499,0.04271953144471214,17141,1.0,2304557,11,17141,0,0.08168699231537065,2066049,2131050,2066049,2131050,0,0.0,2304557,0.9998507528089059,0.04649508087872466,0.04258272345969516,1.0,0.582911854090915,0.00014924719109410772,344,102499
