all_scores_finite,attack,calibration_attack_count,calibration_contaminated,calibration_contamination_rate,calibration_mad,calibration_median,cusum_drift_recorded,end_to_start_ratio,epsilon,evaluation_score_end,evaluation_score_start,fraction_score_nonzero,k,longest_nonzero_run,lower_channel_alerts,lower_longest_nonzero_run,lower_max,lower_nonzero_fraction,lower_only_alerts,lower_only_attack_alerts,rho,robust_scale,score_direction,score_max,score_median,state_reset_count,threshold,upper_channel_alerts,upper_longest_nonzero_run,upper_max,upper_nonzero_fraction
True,mirai,0,False,0.0,0.004306081840061071,0.009625072200411408,True,12136.121804978913,1e-12,61525.102475035965,5.06958511653986,0.990293733980227,0.5,642625,0,46,3.4657921673001795,0.0776815955693885,0,0,0.95,0.006384196937074544,higher_is_more_anomalous,115700.04780565937,100084.0409389227,0,161.66469465376832,641908,642122,115700.04780565937,0.9732512701391431
True,os_scan,0,False,0.0,0.003975762196937792,0.018626049838908594,True,16.318115263621504,1e-12,560.4451369165918,34.34496740968671,0.9999981627216217,0.5,1632509,0,2,0.4114157007798369,7.349113513182473e-06,0,0,0.95,0.005894465034179971,higher_is_more_anomalous,4.670812347905562e+16,559.4285459533144,0,48.92128892089369,1626425,1632509,4.670812347905562e+16,0.9999981627216217
True,fuzzing,0,False,0.0,0.005441708394107146,0.02171518065768963,True,37.516552775192174,1e-12,1189.4701059770987,31.705207914615116,1.0,0.5,2179138,0,0,0.0,0.0,0,0,0.95,0.008067876866103255,higher_is_more_anomalous,214327.2163612584,1224.258077843778,0,70.10832663601995,2171377,2179138,214327.2163612584,1.0
True,ssl_renegotiation,0,False,0.0,0.006386391328077133,0.025269239558426186,True,112813420516.5967,1e-12,3395901735968.3843,30.10193043006609,1.0,0.5,2142570,0,25,6.918822298027631,8.58781743420285e-05,0,0,0.95,0.009468463784007158,higher_is_more_anomalous,1.0451335147471012e+18,858.5067874056916,0,47.102187725866926,2137920,2142570,1.0451335147471012e+18,1.0
True,arp_mitm,0,False,0.0,0.014881341843448416,0.03151815701540028,True,29.247585754949473,1e-12,1028.2112276197765,35.15542227090575,1.0,0.5,2439266,0,0,0.0,0.0,0,0,0.95,0.02206307741809662,higher_is_more_anomalous,1370180177896536.0,829.4431842305036,0,87.57456843517497,2421081,2439266,1370180177896536.0,1.0
True,syn_dos,0,False,0.0,0.012672033669764746,0.029255175728296993,True,45.02886498943599,1e-12,264.53957933493257,5.874888905083328,0.9998093320154087,0.5,2696829,0,23,1.0912238583854839,8.646571394259637e-05,0,0,0.95,0.01878755711979321,higher_is_more_anomalous,75865360370907.25,361.55943019944215,0,31.253094289088516,2693411,2696829,75865360370907.25,0.9998030503182419
True,active_wiretap,0,False,0.0,0.008657545081656408,0.024356330052700464,True,58.60779295326931,1e-12,741.2079380808182,12.646917768628779,1.0,0.5,2213688,0,6,1.474616657172897,0.0007015442103855647,0,0,0.95,0.01283567633906379,higher_is_more_anomalous,3226.925395224883,875.3757081866636,0,34.99368046025245,2210682,2213688,3226.925395224883,1.0
True,ssdp_flood,0,False,0.0,0.005407280655904437,0.022131270643028656,True,777.0837583455268,1e-12,76509.71418401218,98.45748719148042,0.9999945168128227,0.5,4006345,0,0,0.0,0.0,0,0,0.95,0.008016834301443919,higher_is_more_anomalous,1408335535462636.5,1426.0010780020602,0,77.98714255905963,4002630,4006345,1408335535462636.5,0.9999945168128227
True,video_injection,0,False,0.0,0.007380362170780998,0.01706240512390494,True,46.27115312707487,1e-12,864.2721751880493,18.67842309471932,1.0,0.5,2407400,0,0,0.0,0.0,0,0,0.95,0.010942124955399908,higher_is_more_anomalous,5534582434.45372,829.5571491588883,0,18.74896205528477,2407056,2407400,5534582434.45372,1.0
