accuracy,attack,attack_interval_count,attack_interval_detection_rate,benign_false_positive_count,continuous_alert_segments,detected_attack_intervals,detection_delay_rows,f1,first_attack_evaluation_index,first_attack_raw_index,first_detection_evaluation_index,first_detection_raw_index,fn,fnr,fp,fpr,k,pr_auc,precision,recall,rho,roc_auc,specificity,threshold_method,threshold_value,tn,tp
0.9978401913218601,mirai,1,1.0,665,98,1,15,0.9988247673662025,56620,121621,56635,121636,845,0.0013151423466497333,665,0.01174496644295302,0.25,0.9999804925876494,0.9989647162855577,0.9986848576533502,0.9,0.9997713566759504,0.988255033557047,q99,41.890452980964625,55955,641671
0.9979703519772977,mirai,1,1.0,295,59,1,39,0.9988950345077843,56620,121621,56659,121660,1124,0.001749372778265444,295,0.005210173083716001,0.25,0.9999804925876494,0.9995402743081907,0.9982506272217345,0.9,0.9997713566759504,0.994789826916284,q99_5,82.64588099245307,56325,641392
0.9977844081838154,mirai,1,1.0,153,51,1,41,0.9987934154288594,56620,121621,56661,121662,1396,0.0021727085395538788,153,0.0027022253620628753,0.25,0.9999804925876494,0.9997614120663119,0.9978272914604461,0.9,0.9997713566759504,0.9972977746379371,q99_9,153.64459032514858,56467,641120
0.9978287486268766,mirai,1,1.0,672,100,1,15,0.9988185464852924,56620,121621,56635,121636,846,0.0013166987281250583,672,0.011868597668668315,0.5,0.9999787579484727,0.9989538283344387,0.998683301271875,0.9,0.9997466362967877,0.9881314023313317,q99,39.436505662134614,55948,641670
0.997963200292933,mirai,1,1.0,296,59,1,39,0.9988911384519545,56620,121621,56659,121660,1128,0.0017555983041667444,296,0.005227834687389615,0.5,0.9999787579484727,0.9995387137594205,0.9982444016958333,0.9,0.9997466362967877,0.9947721653126104,q99_5,80.9148322383897,56324,641388
0.9977844081838154,mirai,1,1.0,153,51,1,41,0.9987934154288594,56620,121621,56661,121662,1396,0.0021727085395538788,153,0.0027022253620628753,0.5,0.9999787579484727,0.9997614120663119,0.9978272914604461,0.9,0.9997466362967877,0.9972977746379371,q99_9,151.16195379616374,56467,641120
0.9978101542475284,mirai,1,1.0,676,105,1,15,0.9988084239986986,56620,121621,56635,121636,855,0.0013307061614029846,676,0.01193924408336277,1.0,0.9999823201635356,0.9989475929301909,0.998669293838597,0.9,0.999678150454046,0.9880607559166372,q99,35.487318211450905,55944,641661
0.997963200292933,mirai,1,1.0,288,58,1,40,0.998891124636345,56620,121621,56660,121661,1136,0.0017680493559693454,288,0.005086541858000706,1.0,0.9999823201635356,0.9995511697638031,0.9982319506440307,0.9,0.999678150454046,0.9949134581419993,q99_5,77.526970555758,56332,641380
0.9977844081838154,mirai,1,1.0,153,51,1,41,0.9987934154288594,56620,121621,56661,121662,1396,0.0021727085395538788,153,0.0027022253620628753,1.0,0.9999823201635356,0.9997614120663119,0.9978272914604461,0.9,0.999678150454046,0.9972977746379371,q99_9,146.1983570364133,56467,641120
0.9981176766752106,mirai,1,1.0,548,32,1,39,0.9989757256314543,56620,121621,56659,121660,768,0.0011953009730496984,548,0.009678558813140233,0.25,0.9999894769479083,0.9991468108161969,0.9988046990269503,0.95,0.9998785830581661,0.9903214411868597,q99,94.80885783536525,56072,641748
0.9983579732698645,mirai,1,1.0,271,22,1,41,0.9991062155390813,56620,121621,56661,121662,877,0.0013649465538601374,271,0.004786294595549276,0.25,0.9999894769479083,0.9995778224361671,0.9986350534461399,0.95,0.9998785830581661,0.9952137054044508,q99_5,166.51990241693807,56349,641639
0.9982707227206151,mirai,1,1.0,181,28,1,43,0.9990585468604601,56620,121621,56663,121664,1028,0.0015999601566342317,181,0.0031967502649240553,0.25,0.9999894769479083,0.9997179231036563,0.9984000398433658,0.95,0.9998785830581661,0.996803249735076,q99_9,254.08235068254714,56439,641488
0.9981262586964482,mirai,1,1.0,540,31,1,39,0.9989803876394961,56620,121621,56659,121660,770,0.0011984137360003487,540,0.009537265983751325,0.5,0.9999886370609581,0.9991592530430369,0.9988015862639996,0.95,0.9998685906877669,0.9904627340162486,q99,91.4531979163453,56080,641746
0.9983579732698645,mirai,1,1.0,270,22,1,41,0.9991062141473532,56620,121621,56661,121662,878,0.0013665029353354624,270,0.004768632991875662,0.5,0.9999886370609581,0.9995793789764266,0.9986334970646645,0.95,0.9998685906877669,0.9952313670081243,q99_5,161.66469465376832,56350,641638
0.9982692923837422,mirai,1,1.0,181,28,1,43,0.999057767422737,56620,121621,56663,121664,1029,0.0016015165381095568,181,0.0031967502649240553,0.5,0.9999886370609581,0.9997179226640568,0.9983984834618904,0.95,0.9998685906877669,0.996803249735076,q99_9,249.16475449531922,56439,641487
