accuracy,alpha,attack,attack_interval_count,attack_interval_detection_rate,benign_false_positive_count,continuous_alert_segments,detected_attack_intervals,detection_delay_rows,f1,first_attack_evaluation_index,first_attack_raw_index,first_detection_evaluation_index,first_detection_raw_index,fn,fnr,fp,fpr,pr_auc,precision,recall,roc_auc,series,specificity,threshold_method,threshold_value,tn,tp
0.8918522290369828,,mirai,1,1.0,548,22656,1,13,0.9375391361384134,56620,121621,56633,121634,75062,0.11682510630085477,548,0.009678558813140233,0.9955681103052513,0.9990352146647371,0.8831748936991453,0.9486868851824499,baseline,0.9903214411868597,q99,0.07885254791689922,56072,567454
0.8916519818747711,,mirai,1,1.0,310,22488,1,14,0.9373916234538003,56620,121621,56634,121635,75440,0.11741341849852767,310,0.005475097138820205,0.9955681103052513,0.9994536347389608,0.8825865815014723,0.9486868851824499,baseline,0.9945249028611798,q99_5,0.10374458837453895,56310,567076
0.8913659145001831,,mirai,1,1.0,93,22337,1,37,0.9371934095667793,56620,121621,56657,121658,75857,0.11806242957373825,93,0.0016425291416460614,0.9955681103052513,0.999835907063407,0.8819375704262618,0.9486868851824499,baseline,0.9983574708583539,q99_9,0.1742437559731619,56527,566659
0.8919723773343098,,mirai,1,1.0,762,22784,1,13,0.9376349058239679,56620,121621,56633,121634,74764,0.11636130462120788,762,0.013458141999293537,0.9955681103052513,0.9986596636142645,0.8836386953787921,0.9486868851824499,baseline,0.9865418580007065,mean_plus_3std,0.05437677695042259,55858,567752
0.8919223155437569,,mirai,1,1.0,647,22715,1,13,0.9375923486390837,56620,121621,56633,121634,74914,0.11659476184250664,647,0.011427057576827975,0.9955681103052513,0.9988614146263346,0.8834052381574934,0.9486868851824499,baseline,0.9885729424231721,mean_plus_4std,0.06824751363212955,55973,567602
0.8918322043207616,,mirai,1,1.0,511,22623,1,13,0.937523029006221,56620,121621,56633,121634,75113,0.11690448175609634,511,0.009025079477216532,0.9955681103052513,0.9991002158777561,0.8830955182439036,0.9486868851824499,baseline,0.9909749205227835,mean_plus_5std,0.08211825031383653,56109,567403
0.9001124244782132,,mirai,1,1.0,3598,24072,1,12,0.9428702553106897,56620,121621,56632,121633,66237,0.1030900397811105,3598,0.0635464500176616,0.9955681103052513,0.9937952358862311,0.8969099602188895,0.9486868851824499,baseline,0.9364535499823384,median_plus_3mad,0.02254331772059462,53022,576279
0.8938246635847675,,mirai,1,1.0,1784,23550,1,12,0.9388727808433844,56620,121621,56632,121633,72447,0.11275516874287955,1784,0.0315083009537266,0.9955681103052513,0.9968803171444409,0.8872448312571204,0.9486868851824499,baseline,0.9684916990462734,median_plus_5mad,0.031155481400716764,54836,570069
0.8923013548150861,,mirai,1,1.0,1116,23085,1,12,0.9378729471405186,56620,121621,56632,121633,74180,0.115452377839618,1116,0.019710349699752737,0.9955681103052513,0.9980402211248709,0.884547622160382,0.9486868851824499,baseline,0.9802896503002473,median_plus_7mad,0.0397676450808389,55504,568336
0.9981105249908458,0.05,mirai,1,1.0,554,32,1,39,0.9989718396132062,56620,121621,56659,121660,767,0.0011937445915743733,554,0.009784528435181914,0.9999893228620872,0.9991374787288865,0.9988062554084256,0.9998767692772536,ewma,0.990215471564818,q99,0.03996900940531689,56066,641749
0.9983551125961186,0.05,mirai,1,1.0,271,22,1,41,0.999104657029143,56620,121621,56661,121662,879,0.0013680593168107875,271,0.004786294595549276,0.9999893228620872,0.9995778211207836,0.9986319406831892,0.9998767692772536,ewma,0.9952137054044508,q99_5,0.0632429230014332,56349,641637
0.9982664317099963,0.05,mirai,1,1.0,181,27,1,43,0.9990562085436488,56620,121621,56663,121664,1031,0.0016046293010602071,181,0.0031967502649240553,0.9999893228620872,0.9997179217848539,0.9983953706989398,0.9998767692772536,ewma,0.996803249735076,q99_9,0.09156374882713718,56439,641485
0.9979646306298059,0.05,mirai,1,1.0,754,48,1,38,0.99889270782349,56620,121621,56658,121659,669,0.0010412192069925107,754,0.013316849169904627,0.9999893228620872,0.9988266435937697,0.9989587807930075,0.9998767692772536,ewma,0.9866831508300954,mean_plus_3std,0.03237083052172282,55866,641847
0.9980919306114976,0.05,mirai,1,1.0,575,34,1,39,0.9989617448912246,56620,121621,56659,121660,759,0.0011812935397717721,575,0.010155422112327799,0.9999893228620872,0.9991048242964697,0.9988187064602282,0.9998767692772536,ewma,0.9898445778876722,mean_plus_4std,0.03891195550107776,56045,641757
0.9982178002563163,0.05,mirai,1,1.0,448,30,1,40,0.9990301101751251,56620,121621,56660,121661,798,0.001241992417309452,448,0.007912398445778877,0.9999893228620872,0.9993023610717479,0.9987580075826905,0.9998767692772536,ewma,0.9920876015542212,mean_plus_5std,0.045453080480432714,56172,641718
0.9925693999450751,0.05,mirai,1,1.0,4889,321,1,13,0.9959716659623221,56620,121621,56633,121634,306,0.0004762527314494892,4889,0.08634758036029672,0.9999893228620872,0.9924447418401203,0.9995237472685505,0.9998767692772536,ewma,0.9136524196397033,median_plus_3mad,0.016578368681635442,51731,642210
0.9958148343097767,0.05,mirai,1,1.0,2506,193,1,14,0.997726704156107,56620,121621,56634,121635,420,0.0006536802196365538,2506,0.044259978806075594,0.9999893228620872,0.9961123297786851,0.9993463197803635,0.9998767692772536,ewma,0.9557400211939244,median_plus_5mad,0.019973083348909806,54114,642096
0.9972923722995239,0.05,mirai,1,1.0,1419,101,1,15,0.998527967451984,56620,121621,56635,121636,474,0.0007377248193041107,1419,0.025061815612857648,0.9999893228620872,0.997794738142638,0.9992622751806959,0.9998767692772536,ewma,0.9749381843871423,median_plus_7mad,0.023367798016184174,55201,642042
0.9978301789637496,0.1,mirai,1,1.0,653,97,1,15,0.9988192907805834,56620,121621,56635,121636,864,0.0013447135946809106,653,0.011533027198869658,0.9999810781796409,0.9989833490320019,0.9986552864053191,0.9997792771513069,ewma,0.9884669728011304,q99,0.03715368847469245,55967,641652
0.9979660609666788,0.1,mirai,1,1.0,294,59,1,39,0.9988926941172622,56620,121621,56659,121660,1128,0.0017555983041667444,294,0.005192511480042388,0.9999810781796409,0.9995418291303169,0.9982444016958333,0.9997792771513069,ewma,0.9948074885199576,q99_5,0.06292031991660854,56326,641388
0.9977858385206884,0.1,mirai,1,1.0,150,51,1,41,0.9987941896767681,56620,121621,56661,121662,1398,0.002175821302504529,150,0.0026492405510420347,0.9999810781796409,0.9997660884372837,0.9978241786974955,0.9997792771513069,ewma,0.997350759448958,q99_9,0.10924633069497816,56470,641118
0.9977758261625778,0.1,mirai,1,1.0,721,117,1,15,0.998789806983942,56620,121621,56635,121636,834,0.0012980221504211569,721,0.01273401624867538,0.9999810781796409,0.9988776515676296,0.9987019778495788,0.9997792771513069,ewma,0.9872659837513246,mean_plus_3std,0.03514656514548303,55899,641682
0.9979131385023801,0.1,mirai,1,1.0,523,79,1,16,0.998864254693415,56620,121621,56636,121637,936,0.00145677306090432,523,0.009237018721299894,0.9999810781796409,0.999185488932461,0.9985432269390957,0.9997792771513069,ewma,0.9907629812787001,mean_plus_4std,0.04260970768491325,56097,641580
0.9979531879348225,0.1,mirai,1,1.0,412,69,1,39,0.9988858827880179,56620,121621,56659,121660,1019,0.0015859527233563055,412,0.0072765807135287885,0.9999810781796409,0.9993581644750268,0.9984140472766437,0.9997792771513069,ewma,0.9927234192864712,mean_plus_5std,0.05007285022434345,56208,641497
0.9918856989198096,0.1,mirai,1,1.0,5249,518,1,13,0.9956018380332085,56620,121621,56633,121634,424,0.0006599057455378543,5249,0.0927057576827976,0.9999810781796409,0.9918914451579616,0.9993400942544621,0.9997792771513069,ewma,0.9072942423172023,median_plus_3mad,0.016892542058337373,51371,642092
0.9950353007140241,0.1,mirai,1,1.0,2942,381,1,13,0.9973039624993688,56620,121621,56633,121634,529,0.0008233258004469927,2942,0.05196043800777111,0.9999810781796409,0.9954382575446289,0.999176674199553,0.9997792771513069,ewma,0.9480395619922289,median_plus_5mad,0.020591319793573377,53678,641987
0.9965400151043574,0.1,mirai,1,1.0,1799,254,1,14,0.9981192821395557,56620,121621,56634,121635,620,0.0009649565147015794,1799,0.0317732250088308,0.9999810781796409,0.9972051981140136,0.9990350434852984,0.9997792771513069,ewma,0.9682267749911692,median_plus_7mad,0.02429009752880939,54821,641896
0.9966801881179055,0.2,mirai,1,1.0,665,318,1,14,0.9981924253197522,56620,121621,56634,121635,1656,0.002577367723138412,665,0.01174496644295302,0.9999532784339455,0.9989634075055531,0.9974226322768616,0.999449165314319,ewma,0.988255033557047,q99,0.04208487006980788,55955,640860
0.9965342937568656,0.2,mirai,1,1.0,349,268,1,15,0.9981119093093079,56620,121621,56635,121636,2074,0.0032279351798243155,349,0.006163899682091134,0.9999532784339455,0.9994553606402088,0.9967720648201757,0.999449165314319,ewma,0.9938361003179089,q99_5,0.05857204584334709,56271,640442
0.994680577169535,0.2,mirai,1,1.0,118,454,1,41,0.9970980430713144,56620,121621,56661,121662,3601,0.005604529692645787,118,0.0020840692334864004,0.9999532784339455,0.9998153459993459,0.9943954703073542,0.999449165314319,ewma,0.9979159307665136,q99_9,0.13463142218560964,56502,638915
0.9966172532954961,0.2,mirai,1,1.0,782,331,1,14,0.9981584309987845,56620,121621,56634,121635,1583,0.002463751875439678,782,0.013811374072765807,0.9999532784339455,0.9987813904926642,0.9975362481245603,0.999449165314319,ewma,0.9861886259272342,mean_plus_3std,0.038877462823957286,55838,640933
0.9966859094653973,0.2,mirai,1,1.0,509,278,1,14,0.9981951075496229,56620,121621,56634,121635,1808,0.0028139377073878318,509,0.008989756269869304,0.9999532784339455,0.9992061969660817,0.9971860622926122,0.999449165314319,ewma,0.9910102437301307,mean_plus_4std,0.04758291488899317,56111,640708
0.996551457799341,0.2,mirai,1,1.0,374,267,1,15,0.9981213509131045,56620,121621,56635,121636,2037,0.003170349065237286,374,0.006605439773931473,0.9999532784339455,0.999416402825609,0.9968296509347627,0.999449165314319,ewma,0.9933945602260685,mean_plus_5std,0.05628836695402905,56246,640479
0.9924707067008421,0.2,mirai,1,1.0,4395,773,1,13,0.9959148133029324,56620,121621,56633,121634,869,0.0013524955020575364,4395,0.07762274814553162,0.9999532784339455,0.9931970367251665,0.9986475044979425,0.999449165314319,ewma,0.9223772518544684,median_plus_3mad,0.018148000319994778,52225,641647
0.9946862985170267,0.2,mirai,1,1.0,2648,601,1,13,0.9971125738664228,56620,121621,56633,121634,1067,0.0016606590341719117,2648,0.046767926527728716,0.9999532784339455,0.9958888179885949,0.9983393409658281,0.999449165314319,ewma,0.9532320734722712,median_plus_5mad,0.022749227883314183,53972,641449
0.9957490388136214,0.2,mirai,1,1.0,1725,479,1,13,0.9976880771055846,56620,121621,56633,121634,1247,0.0019408076997304347,1725,0.0304662663369834,0.9999532784339455,0.9973172377969313,0.9980591923002695,0.999449165314319,ewma,0.9695337336630167,median_plus_7mad,0.02735045544663358,54895,641269
0.9914751922372758,0.3,mirai,1,1.0,709,976,1,14,0.9953455317886122,56620,121621,56634,121635,5251,0.008172559126932247,709,0.012522077004592017,0.9998641076727227,0.9988886694442093,0.9918274408730677,0.9983983006928966,ewma,0.9874779229954079,q99,0.04471598448509863,55911,637265
0.9901650036616624,0.3,mirai,1,1.0,336,1002,1,15,0.9946232018692115,56620,121621,56635,121636,6540,0.010178734848626338,336,0.0059342988343341575,0.9998641076727227,0.9994719571530947,0.9898212651513737,0.9983983006928966,ewma,0.9940657011656658,q99_5,0.06564914433566696,56284,635976
0.9857466930611498,0.3,mirai,1,1.0,103,1434,1,40,0.9921859868436014,56620,121621,56660,121661,9862,0.015349034109656413,103,0.0018191451783821971,0.9998641076727227,0.9998372202915179,0.9846509658903436,0.9983983006928966,ewma,0.9981808548216178,q99_9,0.1449296244680384,56517,632654
0.9916525540095203,0.3,mirai,1,1.0,825,985,1,14,0.9954436364715196,56620,121621,56634,121635,5011,0.007799027572854217,825,0.01457082303073119,0.9998641076727227,0.998707565052559,0.9922009724271458,0.9983983006928966,ewma,0.9854291769692688,mean_plus_3std,0.04154884230365241,55795,637505
0.991110456334676,0.3,mirai,1,1.0,525,972,1,14,0.9951440266840226,56620,121621,56634,121635,5690,0.008855810594599979,525,0.009272341928647121,0.9998641076727227,0.9991762780634219,0.9911441894054001,0.9983983006928966,ewma,0.9907276580713529,mean_plus_4std,0.05114434323567838,56095,636826
0.9904739564262175,0.3,mirai,1,1.0,390,987,1,14,0.9947934256444895,56620,121621,56634,121635,6270,0.009758511850288552,390,0.00688802543270929,0.9998641076727227,0.9993874050477825,0.9902414881497115,0.9983983006928966,ewma,0.9931119745672907,mean_plus_5std,0.06073984416770435,56230,636246
0.9906484575247162,0.3,mirai,1,1.0,3888,1326,1,13,0.9949170858373436,56620,121621,56633,121634,2650,0.004124410909611589,3888,0.06866831508300954,0.9998641076727227,0.9939604258769654,0.9958755890903884,0.9983983006928966,ewma,0.9313316849169905,median_plus_3mad,0.01920407046213926,52732,639866
0.9919171663310142,0.3,mirai,1,1.0,2261,1092,1,13,0.9955985771510776,56620,121621,56633,121634,3390,0.005276133201352185,2261,0.03993288590604027,0.9998641076727227,0.9964748272104049,0.9947238667986478,0.9983983006928966,ewma,0.9600671140939597,median_plus_5mad,0.024573690674678954,54359,639126
0.9920845157451483,0.3,mirai,1,1.0,1551,1043,1,13,0.995685326680181,56620,121621,56633,121634,3983,0.0061990674162199855,1551,0.027393147297774638,0.9998641076727227,0.9975768805344298,0.99380093258378,0.9983983006928966,ewma,0.9726068527022254,median_plus_7mad,0.029943310887218643,55069,638533
0.9750220271878433,0.5,mirai,1,1.0,672,2752,1,13,0.986237827179641,56620,121621,56633,121634,16791,0.026133201352184224,672,0.011868597668668315,0.9993986598524899,0.9989271979271931,0.9738667986478158,0.992892421863476,ewma,0.9881314023313317,q99,0.05288929741263077,55948,625725
0.9726634016843647,0.5,mirai,1,1.0,326,2793,1,14,0.9849104512021425,56620,121621,56634,121635,18786,0.029238182395457855,326,0.0057576827975980216,0.9993986598524899,0.9994776109836296,0.9707618176045422,0.992892421863476,ewma,0.994242317202402,q99_5,0.07705022971956246,56294,623730
0.9676128821860125,0.5,mirai,1,1.0,97,3113,1,39,0.9820661295138616,56620,121621,56659,121660,22546,0.035090176742680335,97,0.0017131755563405157,0.9993986598524899,0.9998435652921378,0.9649098232573197,0.992892421863476,ewma,0.9982868244436595,q99_9,0.15900575544950743,56523,619970
0.9757658023617722,0.5,mirai,1,1.0,836,2717,1,13,0.9866565440267893,56620,121621,56633,121634,16107,0.025068636423061837,836,0.01476510067114094,0.9993986598524899,0.9986671874626342,0.9749313635769382,0.992892421863476,ewma,0.9852348993288591,mean_plus_3std,0.04552150026830322,55784,626409
0.9747373901501282,0.5,mirai,1,1.0,591,2730,1,13,0.9860770390177146,56620,121621,56633,121634,17071,0.02656898816527526,591,0.010438007771105616,0.9993986598524899,0.9990559648326933,0.9734310118347247,0.992892421863476,ewma,0.9895619922288944,mean_plus_4std,0.05644082366590869,56029,625445
0.9736088543573782,0.5,mirai,1,1.0,398,2743,1,14,0.9854415852583721,56620,121621,56634,121635,18053,0.02809735477404454,398,0.007029318262098199,0.9993986598524899,0.9993630583441757,0.9719026452259555,0.992892421863476,ewma,0.9929706817379018,mean_plus_5std,0.06736014706351416,56222,624463
0.9790584378432808,0.5,mirai,1,1.0,3410,3272,1,12,0.9885367413841566,56620,121621,56632,121633,11231,0.017479720349376515,3410,0.06022606852702225,0.9993986598524899,0.9946273406911982,0.9825202796506235,0.992892421863476,ewma,0.9397739314729777,median_plus_3mad,0.02075287462159969,53210,631285
0.9783461300805566,0.5,mirai,1,1.0,1939,2863,1,13,0.9881148181266491,56620,121621,56633,121634,13200,0.02054423547429169,1939,0.0342458495231367,0.9993986598524899,0.9969283411616542,0.9794557645257083,0.992892421863476,ewma,0.9657541504768633,median_plus_5mad,0.027321435600874747,54681,629316
0.9774664729036983,0.5,mirai,1,1.0,1295,2739,1,13,0.9876134944821318,56620,121621,56633,121634,14459,0.022503719751726027,1295,0.022871776757329567,0.9993986598524899,0.9979423279817972,0.977496280248274,0.992892421863476,ewma,0.9771282232426705,median_plus_7mad,0.03388999658014981,55325,628057
0.04551367241326515,,os_scan,34069,1.0,1558533,1115,34069,0,0.07775456186724562,1249657,1314658,1249657,1314658,0,0.0,1558533,0.9945014835848515,0.4995091973373824,0.04044986156542811,1.0,0.9786187801383145,baseline,0.005498516415148518,q99,0.03989952553820303,8617,65700
0.050050525155403126,,os_scan,34069,1.0,1551125,3045,34069,0,0.07809690792113044,1249657,1314658,1249657,1314658,0,0.0,1551125,0.9897744312924736,0.4995091973373824,0.040635195522088045,1.0,0.9786187801383145,baseline,0.010225568707526401,q99_5,0.05115549414515961,16025,65700
