accuracy,alpha,attack,attack_interval_count,attack_interval_detection_rate,benign_false_positive_count,continuous_alert_segments,detected_attack_intervals,detection_delay_rows,f1,first_attack_evaluation_index,first_attack_raw_index,first_detection_evaluation_index,first_detection_raw_index,fn,fnr,fp,fpr,pr_auc,precision,recall,roc_auc,specificity,threshold_method,threshold_value,tn,tp
0.9983551125961186,0.05,mirai,1,1.0,271,22,1,41,0.999104657029143,56620,121621,56661,121662,879,0.0013680593168107875,271,0.004786294595549276,0.9999893228620872,0.9995778211207836,0.9986319406831892,0.9998767692772536,0.9952137054044508,q99_5,0.0632429230014332,56349,641637
0.9979660609666788,0.1,mirai,1,1.0,294,59,1,39,0.9988926941172622,56620,121621,56659,121660,1128,0.0017555983041667444,294,0.005192511480042388,0.9999810781796409,0.9995418291303169,0.9982444016958333,0.9997792771513069,0.9948074885199576,q99_5,0.06292031991660854,56326,641388
0.9965342937568656,0.2,mirai,1,1.0,349,268,1,15,0.9981119093093079,56620,121621,56635,121636,2074,0.0032279351798243155,349,0.006163899682091134,0.9999532784339455,0.9994553606402088,0.9967720648201757,0.999449165314319,0.9938361003179089,q99_5,0.05857204584334709,56271,640442
0.9901650036616624,0.3,mirai,1,1.0,336,1002,1,15,0.9946232018692115,56620,121621,56635,121636,6540,0.010178734848626338,336,0.0059342988343341575,0.9998641076727227,0.9994719571530947,0.9898212651513737,0.9983983006928966,0.9940657011656658,q99_5,0.06564914433566696,56284,635976
0.9726634016843647,0.5,mirai,1,1.0,326,2793,1,14,0.9849104512021425,56620,121621,56634,121635,18786,0.029238182395457855,326,0.0057576827975980216,0.9993986598524899,0.9994776109836296,0.9707618176045422,0.992892421863476,0.994242317202402,q99_5,0.07705022971956246,56294,623730
0.043599228343081116,0.05,os_scan,34069,1.0,1561659,126,34069,0,0.07761099878976456,1249657,1314658,1249657,1314658,0,0.0,1561659,0.996496187346457,0.46481754131883257,0.040372161274801685,1.0,0.9757822022264481,0.003503812653543056,q99_5,0.03441760072383213,5491,65700
0.045470190158312156,0.1,os_scan,34069,1.0,1558604,163,34069,0,0.07775129526320647,1249657,1314658,1249657,1314658,0,0.0,1558604,0.9945467887566601,0.4720729971514632,0.040448093460337474,1.0,0.9764786246407707,0.005453211243339821,q99_5,0.04260651379530447,8546,65700
0.04764614018434026,0.2,os_scan,34069,1.0,1555051,397,34069,0,0.07791510100204513,1249657,1314658,1249657,1314658,0,0.0,1555051,0.9922796158631911,0.47692754604651383,0.040536763512717254,1.0,0.9770632016033526,0.007720384136808857,q99_5,0.05092181412622512,12099,65700
0.04881648651131457,0.3,os_scan,34069,1.0,1553140,738,34069,0,0.07800349056715779,1249657,1314658,1249657,1314658,0,0.0,1553140,0.9910602048304247,0.47985425438595336,0.04058461614489387,1.0,0.9773938707726961,0.008939795169575344,q99_5,0.05470185564730998,14010,65700
0.049717365342805526,0.5,os_scan,34069,1.0,1551669,1293,34069,0,0.07807166551103965,1249657,1314658,1249657,1314658,0,0.0,1551669,0.9901215582426698,0.48565862529268344,0.0406215279259093,1.0,0.9778871229321995,0.009878441757330185,q99_5,0.05658381358265365,15481,65700
