accuracy,attack,attack_interval_count,attack_interval_detection_rate,benign_false_positive_count,continuous_alert_segments,detected_attack_intervals,detection_delay_rows,f1,first_attack_evaluation_index,first_attack_raw_index,first_detection_evaluation_index,first_detection_raw_index,fn,fnr,fp,fpr,k,pr_auc,precision,recall,roc_auc,specificity,threshold_method,threshold_value,tn,tp
0.9190143262541194,mirai,1,1.0,56620,1,1,0,0.957798296428582,56620,121621,56620,121621,0,0.0,56620,1.0,0.25,0.9999999999951554,0.9190143262541194,1.0,0.9999999999450236,0.0,q99,5238.813628397855,0,642516
0.9190143262541194,mirai,1,1.0,56620,1,1,0,0.957798296428582,56620,121621,56620,121621,0,0.0,56620,1.0,0.25,0.9999999999951554,0.9190143262541194,1.0,0.9999999999450236,0.0,q99_5,5265.469064745568,0,642516
0.9190143262541194,mirai,1,1.0,56620,1,1,0,0.957798296428582,56620,121621,56620,121621,0,0.0,56620,1.0,0.25,0.9999999999951554,0.9190143262541194,1.0,0.9999999999450236,0.0,q99_9,5296.456200871298,0,642516
0.9197109003112413,mirai,1,1.0,56133,8,1,0,0.9581460894073437,56620,121621,56620,121621,0,0.0,56133,0.9913987990109502,0.5,0.9999999999563982,0.9196549340226637,1.0,0.9999999995052126,0.008601200989049805,q99,2911.8920322826816,487,642516
0.9198267575979495,mirai,1,1.0,56052,5,1,0,0.9582039603783208,56620,121621,56620,121621,0,0.0,56052,0.9899682091133875,0.5,0.9999999999563982,0.9197615693819357,1.0,0.9999999995052126,0.010031790886612504,q99_5,2918.7987857957573,568,642516
0.9198768193885024,mirai,1,1.0,56017,9,1,0,0.9582289685164375,56620,121621,56620,121621,0,0.0,56017,0.989350052984811,0.5,0.9999999999563982,0.9198076540406824,1.0,0.9999999995052126,0.010649947015188978,q99_9,2921.3076046448505,603,642516
0.9667332250091542,mirai,1,1.0,22646,8,1,612,0.9822059482841724,56620,121621,57232,122233,612,0.0009525054628989783,22646,0.3999646767926528,1.0,0.9999444486836542,0.9659228049055752,0.9990474945371011,0.9993465442489458,0.6000353232073472,q99,1066.2521635252506,33974,641904
0.9668347789271329,mirai,1,1.0,22575,7,1,612,0.9822593047410281,56620,121621,57232,122233,612,0.0009525054628989783,22575,0.3987107029318262,1.0,0.9999444486836542,0.9660260143661425,0.9990474945371011,0.9993465442489458,0.6012892970681738,q99_5,1073.4766542771338,34045,641904
0.9669620789088246,mirai,1,1.0,22486,8,1,612,0.9823261963752558,56620,121621,57232,122233,612,0.0009525054628989783,22486,0.3971388202048746,1.0,0.9999444486836542,0.9661554207619019,0.9990474945371011,0.9993465442489458,0.6028611797951254,q99_9,1080.2931855439056,34134,641904
0.04023639648467404,os_scan,34069,1.0,1567150,1,34069,0,0.07736010126284183,1249657,1314658,1249657,1314658,0,0.0,1567150,1.0,0.25,0.10239861162242156,0.04023639648467404,1.0,0.8292617540367294,0.0,q99,3038.873681231947,0,65700
